# loc_census.csv — subtask 001 LOC baseline (wc -l semantics; git-tracked files only)
# command: python docs/refactoring/reports/_capture_baseline.py
# git_sha=2a20bd94a06abb6013e2e85be92f978caa916df2 python=3.13.2 generated_utc=2026-07-01T10:56:11Z
# cohorts: core-prod (ari-core/ari), core-test (ari-core/tests), skill:<name> (ari-skill-*/src), frontend (viz/frontend/src ts,tsx)
# band: warn>500 review>800 split>1200 (RECORDED, not enforced here)
path,loc,cohort,band
ari-core/ari/viz/frontend/src/components/Wizard/stepResourcesSections.tsx,407,frontend,-
ari-core/ari/viz/frontend/src/components/Workflow/WorkflowPage.tsx,964,frontend,review
ari-core/ari/viz/frontend/src/components/Workflow/index.ts,1,frontend,-
ari-core/ari/viz/frontend/src/components/Workflow/workflowNodes.tsx,770,frontend,warn
ari-core/ari/viz/frontend/src/components/common/Badge.tsx,10,frontend,-
ari-core/ari/viz/frontend/src/components/common/Button.tsx,29,frontend,-
ari-core/ari/viz/frontend/src/components/common/Card.tsx,17,frontend,-
ari-core/ari/viz/frontend/src/components/common/StatBox.tsx,14,frontend,-
ari-core/ari/viz/frontend/src/components/common/StatusBadge.tsx,16,frontend,-
ari-core/ari/viz/frontend/src/components/common/index.ts,5,frontend,-
ari-core/ari/viz/frontend/src/context/AppContext.tsx,120,frontend,-
ari-core/ari/viz/frontend/src/hooks/useApi.ts,42,frontend,-
ari-core/ari/viz/frontend/src/hooks/useWebSocket.ts,97,frontend,-
ari-core/ari/viz/frontend/src/i18n/en.ts,444,frontend,-
ari-core/ari/viz/frontend/src/i18n/index.ts,40,frontend,-
ari-core/ari/viz/frontend/src/i18n/ja.ts,441,frontend,-
ari-core/ari/viz/frontend/src/i18n/zh.ts,441,frontend,-
ari-core/ari/viz/frontend/src/main.tsx,40,frontend,-
ari-core/ari/viz/frontend/src/services/api.ts,863,frontend,review
ari-core/ari/viz/frontend/src/services/websocket.ts,5,frontend,-
ari-core/ari/viz/frontend/src/types/index.ts,264,frontend,-
ari-core/ari/viz/frontend/src/vite-env.d.ts,1,frontend,-
ari-skill-benchmark/src/__init__.py,0,skill:ari-skill-benchmark,-
ari-skill-benchmark/src/server.py,175,skill:ari-skill-benchmark,-
ari-skill-coding/src/__init__.py,0,skill:ari-skill-coding,-
ari-skill-coding/src/server.py,644,skill:ari-skill-coding,warn
ari-skill-evaluator/src/__init__.py,0,skill:ari-skill-evaluator,-
ari-skill-evaluator/src/server.py,983,skill:ari-skill-evaluator,review
ari-skill-hpc/src/__init__.py,0,skill:ari-skill-hpc,-
ari-skill-hpc/src/server.py,304,skill:ari-skill-hpc,-
ari-skill-hpc/src/singularity.py,173,skill:ari-skill-hpc,-
ari-skill-hpc/src/slurm.py,527,skill:ari-skill-hpc,warn
ari-skill-idea/src/__init__.py,0,skill:ari-skill-idea,-
ari-skill-idea/src/server.py,775,skill:ari-skill-idea,warn
ari-skill-idea/src/snapshot.py,549,skill:ari-skill-idea,warn
ari-skill-idea/src/virsci_runtime.py,592,skill:ari-skill-idea,warn
ari-skill-memory/src/__init__.py,0,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/__init__.py,8,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/access_log.py,180,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/audit.py,98,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/backends/__init__.py,63,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/backends/base.py,80,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/backends/in_memory.py,392,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/backends/letta_backend.py,665,skill:ari-skill-memory,warn
ari-skill-memory/src/ari_skill_memory/backends/letta_client.py,402,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/config.py,103,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/consolidation.py,130,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/context_builder.py,91,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/provenance.py,111,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/retriever.py,99,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/schemas.py,116,skill:ari-skill-memory,-
ari-skill-memory/src/ari_skill_memory/writer.py,100,skill:ari-skill-memory,-
ari-skill-memory/src/server.py,238,skill:ari-skill-memory,-
ari-skill-orchestrator/src/server.py,1043,skill:ari-skill-orchestrator,review
ari-skill-paper/src/__init__.py,0,skill:ari-skill-paper,-
ari-skill-paper/src/claim_links.py,489,skill:ari-skill-paper,-
ari-skill-paper/src/review_engine.py,489,skill:ari-skill-paper,-
ari-skill-paper/src/rubric.py,344,skill:ari-skill-paper,-
ari-skill-paper/src/server.py,2956,skill:ari-skill-paper,split
ari-skill-paper-re/src/_compute/__init__.py,18,skill:ari-skill-paper-re,-
ari-skill-paper-re/src/_compute/computer.py,389,skill:ari-skill-paper-re,-
ari-skill-paper-re/src/_compute/local_pbtask.py,235,skill:ari-skill-paper-re,-
ari-skill-paper-re/src/_litellm_completer.py,521,skill:ari-skill-paper-re,warn
ari-skill-paper-re/src/_paperbench_bridge.py,2376,skill:ari-skill-paper-re,split
ari-skill-paper-re/src/_replicator_agent.py,730,skill:ari-skill-paper-re,warn
ari-skill-paper-re/src/_vendor_path.py,73,skill:ari-skill-paper-re,-
ari-skill-paper-re/src/prompts/mpi_aggregate_skel.py,106,skill:ari-skill-paper-re,-
ari-skill-paper-re/src/server.py,1395,skill:ari-skill-paper-re,split
ari-skill-plot/src/server.py,802,skill:ari-skill-plot,review
ari-skill-replicate/src/__init__.py,0,skill:ari-skill-replicate,-
ari-skill-replicate/src/auditor.py,244,skill:ari-skill-replicate,-
ari-skill-replicate/src/categories.py,181,skill:ari-skill-replicate,-
ari-skill-replicate/src/generator.py,695,skill:ari-skill-replicate,warn
ari-skill-replicate/src/manifest.py,133,skill:ari-skill-replicate,-
ari-skill-replicate/src/rubric_template.py,237,skill:ari-skill-replicate,-
ari-skill-replicate/src/server.py,194,skill:ari-skill-replicate,-
ari-skill-transform/src/__init__.py,0,skill:ari-skill-transform,-
ari-skill-transform/src/claims.py,383,skill:ari-skill-transform,-
ari-skill-transform/src/curate.py,332,skill:ari-skill-transform,-
ari-skill-transform/src/server.py,2465,skill:ari-skill-transform,split
ari-skill-vlm/src/__init__.py,0,skill:ari-skill-vlm,-
ari-skill-vlm/src/server.py,355,skill:ari-skill-vlm,-
ari-skill-web/src/server.py,712,skill:ari-skill-web,warn
